gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
Gm28438,5.367508748,75.77500153,77.73651909,61.96899304,71.4603871,39.18125213
Gm28455,0.793588674,2.796956046,2.967135987,1.957409377,1.807551074,1.241428684
Gm28806,0.082660838,2.668433176,6.429667118,3.768822185,1.522862182,0.754837625
Gm28826,0.054447137,0.330379129,0.642284905,0.291498335,0.144694669,0.167661056
Gm28940,0.07905604,21.76586486,28.45625061,12.81467492,6.661123109,2.10822055
Gm29010,0.054447137,0.56297893,1.201600114,0.155382615,0.054447137,0.054447137
Gm29087,0.054447137,0.351737593,0.670758076,0.36127635,0.203328242,0.109660228
Gm29125,0.054447137,0.966730817,2.945517621,0.923868655,0.419947771,0.27260361
Gm29183,0.286506484,1.586256938,2.204852588,0.795476862,0.388243074,0.21739455
Gm29284,0.107269741,0.136840827,1.443310866,0.435015461,0.234919269,0.108332241
Gm29361,4.82623112,115.9839596,197.7582885,101.9263792,46.09379922,20.52537485
Gm29456,0.755073723,1.415637954,1.445692319,0.598375103,0.449335907,0.330635123
Gm30363,1.349324151,3.69686572,3.983363986,1.568268396,0.670450393,0.356122824
Gm30613,0.054447137,0.423017941,0.803121772,0.132157877,0.271032239,0.108332241
Gm3089,0.054447137,2.5928154,7.808479308,2.693335968,1.716935368,0.496324254
Gm3106,0.054447137,0.244241415,0.725237885,0.458183577,0.146996334,0.109660228
Gm3147,0.135452944,7.031068973,12.91700432,4.731898096,2.928648542,1.368807312
Gm3176,0.07905604,1.515862791,2.118990891,0.881232344,0.422185051,0.356122824
Gm3183,0.054447137,0.434117864,0.753826694,0.395839403,0.237186993,0.109660228
Gm32567,0.054447137,1.637495676,2.735740545,0.846693779,0.388243074,0.054447137
Gm32857,0.135452944,0.319271163,1.059981191,1.036043125,0.419947771,0.384440084
Gm32932,0.054447137,3.668704417,4.63828062,1.731427133,0.600509285,0.445045354
Gm33248,0.07905604,10.49174926,22.63137974,11.25283491,5.028783357,1.90091964
Gm33466,0.110844041,7.996895672,29.46846805,16.19193813,7.434569726,3.190110923
Gm33680,0.07905604,9.986314196,14.83168053,5.202213465,1.886059235,1.2128111
Gm33700,0.107269741,1.275678248,2.281588578,1.471284686,0.992783894,0.333304889
Gm34059,0.392198926,3.548368162,8.365820354,3.971434468,1.486922142,0.993368292
Gm3442,0.103638586,0.649038114,0.979889284,0.275556609,0.234919269,0.139334588
Gm34730,0.054447137,0.190549946,0.890202888,0.279612429,0.266489808,0.136622848
Gm34794,0.054447137,0.4481474,1.059981191,0.795476862,0.176285695,0.081369622
Gm35974,0.07905604,8.803619573,15.238731,4.42544452,2.023812323,0.964945586
Gm3631,0.054447137,0.376703814,0.98375263,0.551872297,0.200963346,0.222900802
Gm3633,0.054447137,0.684351449,1.170686562,0.761203456,0.298059211,0.054447137
Gm36627,0.054447137,0.706377633,3.516369269,2.200896951,0.63206228,0.218698067
Gm36718,0.103638586,7.591162902,43.90955365,28.85454366,8.517203147,2.506329529
Gm37090,1.004534919,1.898040115,1.916775481,1.374693207,0.564109116,0.470659176
Gm37253,0.054447137,0.659333429,0.667021619,0.334138008,0.237186993,0.108332241
Gm37500,0.515045251,1.286019457,3.038827206,1.75448563,0.758411139,1.048553593
Gm37759,0.131852286,0.319271163,1.133923421,1.133715438,0.550893639,0.275341017
Gm37852,0.054447137,0.437887845,0.587786437,0.248335163,0.113075833,0.081369622
