TE,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Rep.RMER17B.LTR.ERVK,1279684,-0.535071807,4.761992495,3.070641677,0.121264964,0.268522577,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MER68B.LTR.ERVL,5649,0.583993444,0.627711171,3.026886419,0.123535039,0.271689206,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR10D2.LTR.ERVK,67079,0.486569957,1.877866548,2.99369233,0.125295149,0.274346011,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR12BD_Mm.LTR.ERVK,99902,-0.571830376,2.334953149,2.9267211,0.128949568,0.279565163,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER16B.LTR.ERVK,23253,-0.628171141,0.122664602,2.898863432,0.130511657,0.281692042,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR30C_MM.LTR.ERV1,26225,0.718306172,-0.393147197,2.892570869,0.130868008,0.282120399,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR23.LTR.ERV1,35053,-0.446116675,1.433908232,2.871518454,0.132069726,0.283750828,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR48B.LTR.ERV1,3044,-1.096247289,-1.730595617,2.864804481,0.132456081,0.284344993,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.L1Md_F.LINE.L1,1517216,-0.479908542,3.485063876,2.854427425,0.133056211,0.284955505,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MER92B.LTR.ERV1,16754,-0.77486153,-1.014272356,2.81340768,0.135464478,0.288216752,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR26_Mus.LTR.ERVK,14218,0.911070653,-1.58594415,2.76070298,0.138645377,0.292497919,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR33.LTR.ERVK,431100,-0.441449784,3.509588083,2.746688128,0.13950807,0.293816686,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.LTR52.LTR.ERVL,12327,-0.894902719,-1.536961033,2.700732578,0.142388028,0.297497864,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.Lx5.LINE.L1,115503,0.591001009,3.633306718,2.653461078,0.14543454,0.30119893,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR6_Mm.LTR.ERV1,121261,-0.345258231,3.521176815,2.630367706,0.146954805,0.303359553,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR21.LTR.ERVK,376326,-0.44161305,3.469937435,2.609392857,0.148354229,0.304902822,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MER88.LTR.ERVL,6237,-0.914047476,-0.995995316,2.608459254,0.148416936,0.304942264,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER6BA.LTR.ERVK,78371,-0.510622553,1.286939375,2.585464155,0.149972779,0.306709634,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.Lx2B2.LINE.L1,82438,-0.631696743,0.882361148,2.459758949,0.15887974,0.318137802,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR6B_Mm.LTR.ERV1,340771,-0.348701111,3.659947031,2.437432711,0.16053611,0.320264817,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MLTR12.LTR.ERV1,62744,-0.469009592,1.386054996,2.356341789,0.166753351,0.3283679,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.IAPEY4_I-int.LTR.ERVK,253712,-0.339322918,4.790035506,2.307673541,0.17064286,0.333187039,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MTB.LTR.ERVL-MaLR,1855481,-0.309758533,6.534904375,2.279932986,0.172915347,0.335877237,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.B1_Mur3.SINE.Alu,41448,-0.491565091,4.859779351,2.237701412,0.176454988,0.340200053,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ORR1E-int.LTR.ERVL-MaLR,52529,-0.524201666,1.167418815,2.221091412,0.17787431,0.341845837,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.Lx5c.LINE.L1,67910,1.286058001,-1.464974879,2.199865519,0.179710902,0.34449369,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MLT1J.LTR.ERVL-MaLR,7112,-0.912702128,-1.95073678,2.154249667,0.18374676,0.349120994,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR5_Mm.LTR.ERV1,360412,0.586904478,-0.464512127,2.134070086,0.185571875,0.351244938,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ORR1D1.LTR.ERVL-MaLR,2917612,-0.294670428,7.016128315,2.11489629,0.187329185,0.353437453,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR35B_MM.LTR.ERVL,55676,0.715672533,-0.39454975,2.112891569,0.18751424,0.353616063,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MER74B.LTR.ERVL,11518,0.91630046,-1.087029321,2.081567743,0.190438709,0.35720851,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR43C.LTR.ERVK,64058,-0.508563221,0.414689285,2.066863502,0.191833225,0.358863666,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR16C_MM.LTR.ERVK,81630,0.349476885,2.098164729,2.041433392,0.194278393,0.361727714,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR16B_MM.LTR.ERVK,138466,-0.365138325,2.513318163,2.041279074,0.194293362,0.361727714,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR12D.LTR.ERVK,22534,0.485902416,0.633080437,2.03398213,0.195002996,0.362214877,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR26B_MM.LTR.ERVK,100039,-0.657483867,0.331582372,2.027638117,0.195622869,0.363017557,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MER90.LTR.ERV1,6624,0.650355929,-0.648700913,2.026314812,0.195752512,0.363189927,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MTB-int.LTR.ERVL-MaLR,5294,1.124154615,-1.862769287,2.018929471,0.196478233,0.364054459,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER19C.LTR.ERVK,29208,0.425162801,1.245138501,2.004462963,0.197910602,0.365612881,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER12B.LTR.ERVK,195907,0.34825251,3.518548157,1.9944178,0.198913712,0.366816453,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR17C_Mm.LTR.ERVK,49657,-0.59434298,-0.614143403,1.98927875,0.19942962,0.367492463,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR13C3.LTR.ERVK,84376,-0.512243809,1.023169776,1.989225488,0.199434977,0.367492463,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR20A2.LTR.ERVK,71808,-0.356476529,2.924498136,1.970324561,0.201348531,0.369819165,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR13B3.LTR.ERVK,204051,-0.298002245,3.742193668,1.9436383,0.204093884,0.373458589,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR9C.LTR.ERVK,167270,-0.458131297,0.952764732,1.93491406,0.205002658,0.374437087,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER16C.LTR.ERVK,16391,-0.594870425,-0.746941674,1.927719227,0.205756352,0.37543942,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR26D_MM.LTR.ERVK,41775,-0.837833658,-1.763615131,1.869006227,0.212053392,0.382693661,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MMETn-int.LTR.ERVK,80959,0.366499508,9.43296834,1.866921113,0.212281932,0.382908885,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR20A3_MM.LTR.ERVK,205254,-0.366549927,2.845760572,1.866710535,0.212305031,0.382917697,0_vs_12,ZfpOE,0_vs_12_ZfpOE
