gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Mageb16,1946,-0.134375793,4.239753867,1.448669862,0.238509148,0.331389373,0_vs_24,DuxOE,0_vs_24_DuxOE
Sltm,11276,0.072542317,6.675803202,1.44803371,0.238609791,0.331483906,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm15789,1359,0.70926084,-0.81488876,1.44796873,0.238620074,0.331483906,0_vs_24,DuxOE,0_vs_24_DuxOE
Pard6b,3399,-0.105517613,5.223008499,1.447914669,0.23862863,0.331483906,0_vs_24,DuxOE,0_vs_24_DuxOE
Pef1,1915,0.108132904,4.748870928,1.447785609,0.238649056,0.33148846,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm2830,385,0.893291366,-1.400005206,1.447429595,0.238705414,0.331519101,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm7389,2884,0.893291366,-1.400005206,1.447429595,0.238705414,0.331519101,0_vs_24,DuxOE,0_vs_24_DuxOE
4933427D14Rik,5119,-0.594035115,-0.325139399,1.446893742,0.238790273,0.33161313,0_vs_24,DuxOE,0_vs_24_DuxOE
Traf3ip2,3687,-0.153858466,3.54811084,1.446169519,0.238905023,0.331748654,0_vs_24,DuxOE,0_vs_24_DuxOE
Cldn15,2124,0.900866331,-1.4001821,1.445788315,0.238965452,0.331784899,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm37982,561,0.900866331,-1.4001821,1.445788315,0.238965452,0.331784899,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm11766,3018,0.705634477,-0.815004522,1.445116659,0.239071969,0.331906139,0_vs_24,DuxOE,0_vs_24_DuxOE
Stk26,5271,-0.130326696,4.070128209,1.445021198,0.239087113,0.331906139,0_vs_24,DuxOE,0_vs_24_DuxOE
AC151602.1,2501,-0.636001092,-0.506981113,1.443670634,0.239301498,0.332179897,0_vs_24,DuxOE,0_vs_24_DuxOE
Amn,1843,-0.172001196,3.354759025,1.443529343,0.23932394,0.332187196,0_vs_24,DuxOE,0_vs_24_DuxOE
Ptpn20,3338,0.397663375,0.675370315,1.442918011,0.239421072,0.332298158,0_vs_24,DuxOE,0_vs_24_DuxOE
Rasl10b,4010,-0.278635435,1.841982422,1.44243982,0.239497085,0.332379794,0_vs_24,DuxOE,0_vs_24_DuxOE
