TE,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Rep.RMER2.LTR.ERV1,549108,1.697391473,4.537796379,284.9290823,1.66E-16,7.07E-15,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.L1_Mus2.LINE.L1,1672604,2.375223655,3.566297026,261.3806219,5.15E-16,2.03E-14,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR14-int.LTR.ERV1,41130,3.532083403,2.663275088,241.7912541,1.42E-15,5.14E-14,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.IAPEY3-int.LTR.ERVK,351777,2.59502416,3.114787398,239.7698876,1.58E-15,5.66E-14,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MT2B2.LTR.ERVL,357466,1.40032685,4.807874171,233.5374237,2.22E-15,7.80E-14,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR20A1.LTR.ERVK,16385,3.061424525,2.611485374,215.0161319,6.43E-15,2.08E-13,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTRETN_Mm.LTR.ERVK,221786,1.479025271,4.454496848,193.0801173,2.53E-14,7.50E-13,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ERVB7_2B-LTR_MM.LTR.ERVK,160581,2.058988122,3.754620444,165.4777029,1.74E-13,4.41E-12,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR13B2.LTR.ERVK,214601,2.43703265,2.649389001,161.9937983,2.26E-13,5.62E-12,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER19C.LTR.ERVK,29208,2.05377243,3.089689038,159.8240151,2.67E-13,6.53E-12,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.L1Md_F3.LINE.L1,5481553,0.872531836,5.796754385,156.4554826,3.47E-13,8.25E-12,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.L1_Mus3.LINE.L1,2118561,1.098892254,4.730793453,142.7737026,1.06E-12,2.33E-11,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MMERVK9E_I-int.LTR.ERVK,182479,1.175039345,4.447320536,136.3753304,1.84E-12,3.87E-11,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER13B.LTR.ERVK,775562,0.892932011,5.4087768,129.4710038,3.42E-12,6.74E-11,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR6_Mm.LTR.ERV1,121261,1.392408859,3.89526128,124.1618396,5.61E-12,1.06E-10,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ORR1A0.LTR.ERVL-MaLR,564004,0.770836409,5.890618787,120.1892045,8.23E-12,1.49E-10,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.IAPEz-int.LTR.ERVK,5420384,0.688560851,6.341884886,118.9719877,9.27E-12,1.66E-10,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR43C.LTR.ERVK,64058,3.086954971,1.601040622,107.3273126,3.06E-11,4.92E-10,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ORR1A2-int.LTR.ERVL-MaLR,893624,0.617385571,6.515274384,103.5115303,4.63E-11,7.17E-10,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR9D.LTR.ERVK,221926,0.890065755,4.781746986,100.5673376,6.43E-11,9.62E-10,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.LTRIS_Mus.LTR.ERV1,396857,0.795045134,5.365196147,98.02956378,8.58E-11,1.24E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MTEa.LTR.ERVL-MaLR,1968863,0.603058537,6.600220399,96.7367383,9.97E-11,1.41E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ETnERV3-int.LTR.ERVK,274156,2.639316273,1.72484829,96.11228559,1.07E-10,1.51E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ERVB4_1C-LTR_Mm.LTR.ERVK,129522,1.692222879,2.898547405,95.79537947,1.11E-10,1.56E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR21.LTR.ERVK,376326,0.985762207,4.457811514,91.05157562,1.96E-10,2.62E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ID2.SINE.ID,5920,2.421826554,1.742151977,86.38679266,3.50E-10,4.43E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.IAPEY3C_LTR.LTR.ERVK,107122,1.538226558,2.871622182,83.21616043,5.25E-10,6.41E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR9F.LTR.ERVK,122739,1.498750705,3.008158734,81.21780827,6.83E-10,8.14E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MT2C_Mm.LTR.ERVL,164171,1.285228823,3.475116512,81.04046122,6.99E-10,8.33E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MLTR11B.LTR.ERVK,193559,1.471273436,2.977448557,80.9086955,7.12E-10,8.47E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER20C_Mm.LTR.ERVK,185054,1.363856948,3.081817918,79.55138214,8.54E-10,9.97E-09,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR14.LTR.ERV1,355336,0.870039463,4.382483357,67.41714579,4.84E-09,4.76E-08,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.LTRIS4A.LTR.ERV1,63576,0.998286182,3.733546069,66.60424461,5.48E-09,5.32E-08,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER6B.LTR.ERVK,173205,1.088429488,3.648618883,65.33280296,6.67E-09,6.35E-08,0_vs_24,DuxOE,0_vs_24_DuxOE
