gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
Rab39,1.793144501,5.586012363,3.893735033,1.865895446,0.625269167,0.634925195
Rab3c,0.054447137,1.525869711,1.39254635,0.372639039,0.144694669,0.162127098
Rab8a,32.42441553,44.0230194,26.58596223,18.96376335,19.39533777,17.90728425
Rabif,38.90278635,61.73908886,48.04176917,36.94258078,32.12873136,25.06431953
Rabl2,8.939075296,13.82881983,8.933177263,5.499979869,4.393976901,5.812958769
Rad54l,53.03393383,67.06938703,48.21835352,38.28696735,31.67091542,28.66685821
Rapgef4,0.269257606,1.636706791,0.525526437,0.659435755,0.363628297,0.385772545
Rara,29.31689072,40.49848101,31.11476156,28.94170434,18.65515636,15.31687317
Rassf10,1.264802803,2.39632676,1.95188227,1.487695974,0.550893639,0.330635123
Rassf4,8.586379308,11.76609074,7.996295676,6.153173456,2.449650807,1.579010952
Rbak,1.507885094,10.25848921,9.106469691,9.005659701,5.645953645,4.155514304
Rbbp8nl,0.427493892,0.684351449,0.499632557,0.252382076,0.144694669,0.054447137
Rbm34,26.20451255,37.08853173,26.82492377,21.48136325,16.50712517,16.1195443
Rbm43,3.421958767,5.19875281,3.020047918,3.148204298,1.85926819,2.121678539
Rbmxl1,112.952099,163.6605916,113.044216,79.19753755,71.57894331,53.11934896
Rbmxl2,54.87684249,94.08509971,59.06011608,42.77368272,40.19127475,26.98362888
Rcl1,76.69179579,97.23602449,74.7539536,57.66977426,50.91710539,41.31809109
Rcor2,84.78972876,100.2490005,68.29755753,59.53003485,45.95700099,39.13585612
Rerg,2.789218994,3.123204512,3.096703435,1.840249335,1.421159413,2.099209426
Resf1,20.72570146,56.12369967,51.23339095,46.06562275,35.71036676,36.16884055
Rgs17,2.51097279,2.603277502,2.037685517,1.976390567,1.407931131,0.681944427
Rgs19,8.858024059,16.41565033,10.5581093,8.775154406,6.885527199,5.936494494
Rgs22,2.623116377,4.383314456,2.480417998,1.932632222,1.647572959,2.150283787
Rgs9bp,8.292803654,10.78118641,7.411902278,8.307734049,4.578696479,3.862601558
Rhobtb1,4.172153131,6.286131644,5.028435788,4.51071102,2.497949043,1.4580904
Rhog,3.282113188,5.338843597,4.016360887,2.03801933,1.43504375,1.90091964
Rhox10,1.923657671,2.774198556,1.728913915,0.869528019,0.383706541,0.51779398
Rhox5,50.95239222,54.41801686,41.59149383,29.69261175,30.9236347,20.61325998
Rhox6,2.903443025,6.741699331,4.30798596,1.941333705,2.3260209,2.134056552
Ribc1,5.853246238,14.57346164,10.63933935,5.39545067,6.068281614,3.900281005
Ric8a,19.83086147,46.17750908,22.92505643,15.29263859,14.32708974,14.51552694
Rilpl1,6.593061775,11.44735591,8.187498378,7.765248307,6.007149799,4.292050062
Rimbp2,1.373341728,1.672712208,0.886149486,0.842868669,0.63206228,0.389842376
Rinl,9.066304114,30.87751526,9.180465258,7.631535199,5.504271431,4.416601678
Riox2,18.65879478,31.96937449,22.70198232,20.55502191,14.32296685,15.20531971
Rit1,2.172933589,4.971924562,4.689722463,4.206387171,3.298899702,3.178455601
Rlf,32.48089531,100.7727438,65.2558193,54.73054669,45.05241424,38.50702885
Rmdn2,1.824800889,3.666018708,1.894785658,1.676776763,1.306448896,1.130530839
Rmi1,10.08304816,30.96279445,21.0306145,19.13004251,15.46221872,12.19764965
Rnase12,0.163633084,0.501725229,0.279016136,0.054447137,0.086065973,0.054447137
Rnaseh2c,34.29155653,37.17030188,18.39796961,12.66783239,15.865277,15.93565256
Rnd3,6.38381823,18.30747868,17.50867073,15.4579026,12.65052286,7.870109283
Rnf145,78.49381192,98.37183369,76.79291196,66.85545181,50.40605143,35.3397976
Rnf168,13.2968903,36.33320171,23.4460185,24.19064591,19.44618124,16.02879818
Rnf182,0.709479415,0.752587594,0.529398994,0.749184506,0.113075833,0.16490321
Rnf5,46.01486441,52.59845795,33.47974415,24.97161763,26.79882384,27.11489442
Ros1,0.054447137,0.662943054,0.332196709,0.209834414,0.054447137,0.054447137
Rpgrip1,4.758977126,60.65462844,58.27754,25.99756031,17.28959252,10.65853112
Rpgrip1l,9.832853645,16.34977277,12.52384919,8.672215468,7.681256641,6.653423213
Rpl7l1,116.3836606,176.4141382,133.2512767,94.84517959,76.99776791,60.66538182
Rpp14,31.16364565,52.43238366,39.70160975,28.79008387,27.73046027,21.43527543
Rpp25l,14.04214462,21.20068045,12.62081547,10.63148851,10.31898264,8.080628576
Rps4l,233.8685657,302.4444748,209.6956078,135.0942421,124.1793793,120.667807
Rraga,30.6953419,57.84020995,47.8517831,33.26624941,24.80475204,21.16699726
Rrp7a,36.76368311,63.83524851,40.18558188,30.0290976,29.36634067,30.04411192
Rsl24d1,86.95147676,101.9012594,70.74234638,49.60396946,56.37955389,48.55975791
Rtl6,2.908892087,6.730550344,5.63341074,4.43748846,2.955612059,3.038352415
Ruvbl1,168.3710263,208.173226,132.2389275,77.37770868,81.72193846,75.49889734
Rwdd2a,4.623196242,8.667516102,8.468614206,6.024731743,4.481485582,2.218747872
Rwdd2b,3.334857216,7.50853411,3.928864158,2.539502394,2.779972931,2.556079509
Rxrg,0.58902725,1.504890516,1.426593325,0.582601981,0.356636472,0.388569166
S100a10,45.62146024,55.87702592,34.2981432,20.73629988,27.3953206,22.60133023
S100a14,1.905805319,2.715875351,1.280602184,1.090319808,1.008407702,0.742607004
S1pr2,12.61899438,29.81710419,19.58403499,15.91038697,11.34648388,12.90067916
Sac3d1,20.22424089,33.96155646,27.55276328,19.02525467,12.09721253,8.252336107
