gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Zbtb45,60.72613304,25.36911368,18.54813373,16.3671915,9.400583122,14.4121825
Zbtb8a,0,0.222231579,18.18941022,25.52707804,6.47245836,3.962862777
Zbtb8os,3.474612457,2.808556325,5.270865135,9.228788038,15.56547389,30.48500887
Zc3h4,65.1175595,105.4783775,81.52311059,71.03971744,30.15737667,29.22589101
Zcchc10,393.413076,276.5650728,184.3117064,80.78038577,87.34576624,70.40935414
Zfp141,15.58838245,19.64926634,12.12661517,17.83226622,20.68015884,24.74813724
Zfp229,51.60560129,62.62219081,92.59340587,37.34827667,7.869996637,5.289602939
Zfp345,1.643660989,4.966118898,7.14971277,8.749986089,8.943080479,12.58128262
Zfp532,26.53359515,49.42782523,27.84606953,2.730887811,14.2935596,20.8645533
Zfp553,20.07358068,12.50606806,75.93341463,16.91734176,7.615491401,14.14059458
Zfp771,0,0.040640723,0.597192054,0.482593085,0.184311405,0.102743885
Zfp809,7.286823717,10.68800574,163.3611957,63.67593743,38.38013434,36.5702677
Zfp819,55.60758443,92.41994613,49.96945461,27.72734385,1.964108972,15.43828449
Zfp936,20.73813649,22.17540063,175.6431257,212.1295934,66.46175335,46.51703966
Zfp959,2.116585206,1.817112562,0.767621589,4.866026409,2.468289742,3.212948872
Zfp982,4.683464605,11.20776965,14.77545969,8.444629306,6.827060957,14.54873765
